iter	Passed	Remaining
439	1336	1701
440	1340	1698
441	1344	1696
442	1346	1693
443	1349	1689
444	1352	1686
445	1354	1682
446	1356	1678
447	1359	1674
448	1363	1672
449	1366	1669
450	1368	1665
451	1371	1662
452	1375	1660
453	1377	1656
454	1380	1653
455	1383	1649
456	1385	1646
457	1388	1642
458	1390	1638
459	1392	1634
460	1395	1631
461	1398	1628
462	1401	1625
463	1404	1622
464	1406	1618
465	1410	1615
466	1411	1611
467	1413	1607
468	1416	1603
469	1418	1599
470	1421	1596
471	1423	1592
472	1425	1588
473	1428	1585
474	1429	1579
475	1432	1576
476	1435	1574
477	1437	1569
478	1439	1565
479	1441	1561
480	1444	1558
481	1447	1555
482	1449	1551
483	1451	1547
484	1453	1543
485	1455	1539
486	1458	1536
487	1460	1532
488	1463	1529
489	1467	1527
490	1469	1523
491	1471	1519
492	1474	1516
493	1477	1513
494	1480	1510
495	1482	1506
496	1485	1503
497	1488	1500
498	1491	1497
499	1493	1493
500	1496	1490
501	1498	1486
502	1500	1482
503	1503	1479
504	1507	1477
505	1509	1473
506	1512	1470
507	1515	1467
508	1517	1463
509	1520	1460
510	1522	1456
511	1524	1453
512	1528	1450
513	1529	1446
514	1532	1443
515	1536	1441
516	1539	1438
517	1542	1435
518	1545	1432
519	1547	1428
520	1550	1425
521	1552	1421
522	1554	1417
523	1556	1414
524	1559	1411
525	1563	1408
526	1570	1409
527	1577	1410
528	1579	1406
529	1584	1405
530	1590	1405
531	1595	1403
532	1601	1403
533	1606	1402
534	1610	1399
535	1613	1397
536	1617	1394
537	1619	1390
538	1623	1388
539	1627	1386
540	1629	1382
541	1632	1379
542	1634	1375
543	1635	1371
544	1637	1367
545	1639	1362
546	1640	1358
547	1642	1354
548	1644	1350
549	1645	1346
550	1647	1342
551	1649	1338
552	1650	1334
553	1652	1330
554	1654	1326
555	1655	1322
556	1657	1318
557	1659	1314
558	1660	1310
559	1662560	16560	1663561	16561	1665562	16562	1666563	16563	1668564	16564	1669565	16565	1671566	16566	1673567	16567	1674568	16568	1676569	16569	1678570	16570	1679571	16571	1681572	16572	1682573	16573	1684574	16574	1686575	16575	1687576	16576	1689577	16577	1691578	16578	1693579	17579	1695580	17580	1696581	17581	1698582	17582	1700583	17583	1702	1212
584	1703	1208
585	1705	1204
586	1707587	17587	1709	1197
588	1711	1194
589	1713	1190
590	1714	1186
591	1716	1182
592	1718	1179
593	1720	1175
594	1722	1172
595	1724	1169
596	1726	1165
597	1729	1162
598	1733	1160
599	1736	1157
600	1738	1154
601	1745	1153
602	1750	1152
603	1757	1152
604	1762	1150
605	1766	1148
